id,objeto_descricao,rotulo_humano_cego (1=pragas/0=nao/?=ambiguo),catser_OCULTAR_ATE_ROTULAR
00509018000113-1-001482/2025,"Contratação de empresa especializada para a prestação de serviços de controle de vetores e pragas urbanas nos imóveis utilizados pelo TRE-MA, pelo período de 5 (cinco) anos, abrangendo as atividades de desinsetização, descupinização, desratização e desalojamento de pombos e morcegos.",,
06307102000130-1-000396/2025,"Contratação de serviços de dedetização, desratização e descupinização, para atender as demandas das Unidades de Saúde.",,
06307102000130-1-000411/2025,"Registro de preço para contratação de empresa especializada na prestação de serviços de dedetização, abrangendo desinsetização, desratização, descupinização, combate/prevenção ao aparecimento de escorpiões, bem como controle de pombos e morcegos, e demais serviços de combate a pragas urbanas, para a",,
00394452000103-1-016046/2025,"Contratação de empresa especializada para execução periódica de serviços de controle de pragas urbanas (dedetização, desratização e descupinização) nas instalações do setor de aprovisionamento desta OM (24º Batalhão de Infantaria de Selva), incluindo depósitos de gêneros alimentícios, almoxarifado, ",,
05483912000185-1-000103/2025,"Rormação de Registro de Preços para contratação de empresa especializada na prestação de serviços de controle sanitário de pragas e vetores, englobando desinsetização, desratização, descupinização, combate a animais peçonhentos e desalojamento de pombos, morcegos, bem como demais animais sinantrópic",,
06307102000130-1-000877/2025,"Contratação de empresa especializada na prestação dos serviços de dedetização em geral, compreendendo desratização, descupinização e desinsetização, bem como, desinfecção e limpeza dos reservatórios de água potável, para atender às necessidades da Secretaria Municipal de Fazenda-SEMFAZ.",,
05495676000117-1-000017/2025,"[LICITANET] - Contratação de empresa especializada na prestação de serviços de dedetização, sanitização, descupinização, desratização, limpeza de caixa d’água e combate a animais peçonhentos e desalojamento de pombos, morcegos, bem como demais animais sinantrópicos com prestação de serviços, materia",,
06307102000130-1-000959/2025,"Registro de preço para contratação de empresa especializada na prestação de serviços de dedetização, abrangendo desinsetização, desratização, descupinização, combate/prevenção ao aparecimento de escorpiões, bem como controle de pombos e morcegos, e demais serviços  de combate a pragas urbanas, para ",,
13127340000120-1-000053/2025,"Contratação de empresa para prestação de serviços continuados de dedetização/desinsetização, desratização, descupinização, controle populacional de aves-pombos e sanitização, desinfecção e higienização de áreas internas e externas desta SEAP/MA.    ",,
06307102000130-1-000520/2025,"Contratação empresa para prestação de serviços de controle de pragas urbanas(desinsetização, dedetização e desratização), para atender as necessidades desta Secretaria.",,
32865193000130-1-000034/2025,"Contratação de empresa especializada na prestação de serviços de sanitização de ambientes internos e controle macrobiótico de ambientes e de sintetização, desratização, descupinização a fim de atender às necessidades do Conselho Regional dos Técnicos Industriais da 2ª Região – CRT-02",,
00509968000148-1-003941/2025,"Contratação de serviço de limpeza, higienização e sanitização completa dos assentos e carpetes do Auditório e do Plenário em regime de contratação por tarefa, conforme condições, quantidades e exigências estabelecidas no Termo de Referência..",,
00348003002245-1-000533/2025,"Contratação de empresa especializada para prestação de serviços comuns descontinuados de dedetização (descupinização), com fornecimento de mão de obra e materiais, para a Embrapa Maranhão.",,
00394544000185-1-000072/2026,"O objeto do presente instrumento é a contratação de empresa especializada no serviço de Desinsetização, Desratização, Descupinização, Limpeza e Desinfecção de Caixa D'Água, Limpeza e Desinfecção de Cisterna e Controle de Animais Sinantrópicos, com fornecimento de materiais e mão de obra qualificada,",,
15126437000305-1-000904/2026,Contratação de empresa especializada em prestação de serviço de controle de vetores e pragas urbanas,,
06307102000130-1-000001/2027,"Contratação de empresa especializada para a prestação de serviços contínuos de manutenção sanitária preventiva e corretiva contendo ( dedetização, limpeza de cisterna e laudo laboratorial de potabilidade de agua )",,
06353247000178-1-000011/2026,"Prestação de serviços de dedetização, desinsetização e controle de pragas para a sede e delegacias regionais",,
06307102000130-1-000089/2026,".O Objeto da presente dispensa eletrônica é a escolha da proposta mais vantajosa para Contratação de Serviços Contínuos de Manutenção Sanitária e Controle de Pragas.para atender às necessidades da Secretaria Municipal de Turismo de São Luís-MA, conforme condições, quantidades e exigências estabeleci",,
26461699000180-1-000077/2026,"Contratação de empresa especializada para execução de serviços de dedetização, desinsetização, desratização e sanitização ambiental na Sede da Superintendência Regional Maranhão (Sureg/MA) da Companhia Nacional de Abastecimento (Conab), conforme especificações, condições, quantidades e exigências es",,
04892707002316-1-000010/2026, Contratação dos serviços de desinsetização / desratização / dedetização para a Sede e Unidades Locais da Superintendência Regional do DNIT no Maranhão.,,
06307102000130-1-000446/2024,"prestação de serviços de dedetização, desratização e  descupinização geral para ser realizada nas áreas internas e externas da Escola de Governo e  Gestão Municipal (EGGEM).",,
06352009000148-1-000008/2026,Contratação de empresa especializada em desinsetização para a sede do CRCMA.,,
04399337000174-1-000005/2026,"Contratação dos serviços de dedetização e desratização a serem realizados na sede e no Arquivo da Procuradoria Geral do Estado do Maranhão, incluindo o fornecimento de todos os materiais necessários, bem como a execução por equipe técnica qualificada, através de Dispensa de Licitação.",,
